osm_id,osm_type,health_facility_type,access,toilets_disposal,staff_count_doctors,operator,toilets_handwashing,status,name,health_facility_level,opening_hours,operator_type,medical_system_western,staff_count_nurses,health_facility_bed,amenity,longitude,latitude,geom_type
7039284220,nodes,,,,,,,,La Clinique de Chirurgie Esthétique,,,,,,,doctors,-75.6888434,45.493934,POINT
3103074406,nodes,,,,,,,,Uniprix,,,,,,,pharmacy,-75.6888107,45.4937261,POINT
7039334004,nodes,,,,,,,,Clinique Medicale St-Alexandre,,,,,,,doctors,-75.7454001,45.4873059,POINT
9381859458,nodes,,,,,,,,Canadian Diagnostic Network,,,,,,,clinic,-75.8964925,45.312179,POINT
4435076071,nodes,,,,,,,,Orleans Urgent Care Clinic,,"Mo-Fr 08:00-21:00; Sa,Su 08:00-15:00",,,,,doctors,-75.5204082,45.4767452,POINT
10799577580,nodes,,,,,,,,Clinique d'Hygiene Dentaire Gatineau,,,,,,,dentist,-75.6499428,45.4836551,POINT
6283666906,nodes,,,,,,,,Uniprix,,,,,,,pharmacy,-75.6983088,45.4795406,POINT
6516670663,nodes,,,,,,,,Guardian,,,,,,,pharmacy,-75.7234289,45.3908757,POINT
5756773437,nodes,,,,,,,,Pharm Can,,,,,,,pharmacy,-75.7092906,45.407131,POINT
5862310852,nodes,,,,,,,,Dr. Jeremy Lo,,,,,,,doctors,-75.7093791,45.4071025,POINT
2450668992,nodes,,,,,,,,Ottawa Medical Pharmacy,,,,,,,pharmacy,-75.7105463,45.4097213,POINT
5836628247,nodes,,,,,,,,Vina Medical Centre,,,,,,,clinic,-75.7116573,45.4092652,POINT
3690936032,nodes,,,,,,,,Clinique Sante,,,,,,,pharmacy,-75.7422265,45.4471544,POINT
6660835833,nodes,,,,,,,,NutriSimple,,,,,,,clinic,-75.7503935,45.445914,POINT
6660835832,nodes,,,,,,,,Centre de commotions cérébrales et thérapie du sport,,,,,,,clinic,-75.7504033,45.4460159,POINT
6630302224,nodes,,,,,,,,Clinique Dentaire du Village Urbain du Plateau,,,,,,,dentist,-75.7949721,45.4426505,POINT
6281701251,nodes,,,,,,,,Pharmacie Michel Quesnel,,,,,,,pharmacy,-75.7008708,45.4727529,POINT
6061073637,nodes,,,,,,,,PharmaChoice,,,,,,,pharmacy,-74.9877137,45.5402948,POINT
5487638214,nodes,,,,,,,,Dr. Sam Lee,,,,,,,dentist,-75.4810846,45.4911074,POINT
5815813973,nodes,,,,,,,,ABCommunication Speech Therapy,,,,,,,clinic,-75.5001926,45.4490204,POINT
