osm_id,osm_type,health_facility_type,access,staff_count_nurses,operator_type,toilets_disposal,health_facility_bed,opening_hours,operator,medical_system_western,status,toilets_handwashing,health_facility_level,staff_count_doctors,name,amenity,longitude,latitude,geom_type
12657686383,nodes,,,,,,,,,,,,,,عيادة د.توث,dentist,43.483012,25.8849467,POINT
7494477280,nodes,,,,,,,,,,,,,,صيدلية,pharmacy,44.211,25.8709,POINT
12616556920,nodes,,,,,,,,,,,,,,مركز الرعاية الصحية الأولية حي الحوطة,hospital,43.5166864,25.8578477,POINT
12660768674,nodes,,,,,,,,,,,,,,صيدلية زاوية دلتا,pharmacy,43.5060835,25.8587742,POINT
7045210641,nodes,,,,,,,,,,,,,,صيدلية عادل,pharmacy,44.2114082,26.7705557,POINT
4526549790,nodes,,,,,,,Mo-Su 08:00-16:00,,,,,,,مركز اشبيليا,clinic,46.7897999,24.799636,POINT
3878589720,nodes,,,,,,,,,,,,,,,pharmacy,46.783317,24.7998508,POINT
3835888339,nodes,,,,,,,,,,,,,,,pharmacy,46.7842406,24.799889,POINT
4227738390,nodes,,,,,,,,,,,,,,مستوصف اليرموك,hospital,46.7908317,24.8103493,POINT
3835887057,nodes,,,,,,,,,,,,,,صيدلية السعودية,pharmacy,46.7789298,24.8084886,POINT
5172454621,nodes,,,,,,,,,,,,,,مستوصف الطب العالمي,hospital,47.2707405,24.1499125,POINT
7954502588,nodes,,,,,,,,,,,,,,,pharmacy,47.1362805,23.9847062,POINT
4512256794,nodes,,,,,,,,,,,,,,صيدلية أستاذ العلاج,pharmacy,47.1307965,23.9958325,POINT
4547254091,nodes,,,,,,,,,,,,,,,hospital,47.1319433,23.9953378,POINT
4509127289,nodes,,,,,,,,,,,,,,صيدلية لؤلؤة الحياة,pharmacy,47.1368551,23.995889,POINT
4510545102,nodes,,,,,,,,,,,,,,العيادات المتقدمة للأسنان,clinic,47.1384456,23.9975907,POINT
4129960497,nodes,,,,,,,,,,,,,,مجمع طب الاسرة 2,hospital,46.7280761,24.6100189,POINT
4244291528,nodes,,,,,,,,,,,,,,مستشفى الفلاح,hospital,46.7292391,24.6191751,POINT
4222916990,nodes,,,,,,,,,,,,,,صيدلية همول,pharmacy,46.7927719,24.8065203,POINT
